STATIONID,STREAM_NAME,LAT,LONG,HUC8,HUC8NAME,HUC10,HUC12,HUC_12_Name,COUNTY,YEAR,MONTH,DAY,METHOD,METHOD_DES,SmallFrees,LargeFrees,Richness,richEPT,richEPTptv,richTcadd,richEmay,PTVbeck3,PTVbeck4,HILSindex,SHANdivers,PTVpct03,PTVpct710,INST_COVER,EPI_SUB,EMBEDDED,VELO_DEPTH,CHAN_ALT,SED_DEP,FREQ_RIFF,CHAN_FLOW,COND_BANKS,BANK_VEG,GRAZING,RIP_VEG_ZO,HAB_TOTAL,AREAsqmi,Standardization,Regular_IBI,SPEAR_IBI,IBI_Adjusted_Abundance_,R_IBI_Total_Taxa_Richness,R_IBI_EPT_Taxa_Richness,R_IBI_Beck's_Index,R_IBI_Hilsenhoff_Biotic_Index,R_IBI_Shannon_Diversity_Index,R_IBI_Percent_Sensitive_Individuals,R_IBI_Total_Individuals_Sampled,S_IBI_Total_Taxa_Richness,S_IBI_EPT_Taxa_Richness,S_IBI_Beck's_Index,S_IBI_Hilsenhoff_Biotic_Index,S_IBI_Shannon_Diversity_Index,S_IBI_Percent_Sensitive_Individuals,S_IBI_Total_Individuals_Sampled,A_IBI_Total_Taxa_Richness,A_IBI_EPT_Taxa_Richness,A_IBI_Beck's_Index,A_IBI_Hilsenhoff_Biotic_Index,A_IBI_Shannon_Diversity_Index,A_IBI_Percent_Sensitive_Individuals,A_IBI_Total_Individuals_Sampled,LC_Sites,Urban,Forested,Agriculture,OpenWaterWetland_,NA
20210224-1300-jlorson,Lewis_Creek,41.38724222,-75.82403077,02050106,Upper_Susquehanna-Tunkhannock,0205010614,020501061409,Obendoffers_Creek-Susquehanna_River,Luzerne,2021,2,24,Freestone,"6-Dframe_Composite,_200_subsample",65.0195,NA,19,11,8,4,3,23,21,2.95,2.16,57,2.8,18,18,16,19,13,16,16,19,19,10,12,12,188,1.4,<25_standardizations,52.42723351,49.91907521,54.6700876,19,8,23,2.953271028,0,57.00934579,214,17,6,9,1.168224299,2.097215465,8.878504673,214,17,7,14,3.579439252,2.097215465,42.52336449,214,20210224-1300-jlorson_Watershed,9.513225161,73.57190487,12.49166481,4.423205157,NA
20210224-1410-tdaley,Raccoon_Creek,40.92546048,-76.1740289,02050107,Upper_Susquehanna-Lackawanna,0205010708,020501070802,Tomicken_Creek,Schuylkill,2021,2,24,Freestone,"6-Dframe_Composite,_200_subsample",67.7536,NA,20,15,11,6,4,19,20,2.67,1.64,76.3,0,15,16,16,12,20,13,15,14,15,16,13,12,177,2.5,<25_standardizations,67.76587939,51.31020596,48.05332302,20,11,19,2.666666667,1.642197829,76.26262626,198,18,8,9,0.656565657,1.623836037,13.13131313,198,18,11,14,5.025252525,1.623836037,17.67676768,198,20210224-1410-tdaley_Watershed_,16.22542595,69.92136304,13.80078637,0.05242464,NA
20210224-1450-tdaley,Tomhicken_Creek,40.92534954,-76.17460351,02050107,Upper_Susquehanna-Lackawanna,0205010708,020501070802,Tomicken_Creek,Schuylkill,2021,2,24,Freestone,"6-Dframe_Composite,_200_subsample",66.3583,NA,19,14,11,4,3,23,20,3.33,1.93,61.2,1,17,18,17,16,20,15,19,16,14,18,16,16,202,9.2,<25_standardizations,66.3573627,52.49494662,47.43450526,19,11,23,3.325242718,1.929352873,61.16504854,206,16,7,12,0.804878049,1.87711415,16.09756098,205,16,9,16,5.068292683,1.87711415,17.07317073,205,20210224-1450-tdaley_Watershed_,27.14444307,68.52103121,2.358455656,1.976070063,NA
20210225-1104-mshank,Toms_Run,40.03391518,-77.30415583,02050305,Lower_Susquehanna-Swatara,0205030505,020503050503,Mountain_Creek,Cumberland,2021,2,25,Freestone,"6-Dframe_Composite,_200_subsample",94.1471,NA,38,25,18,10,11,35,35,2.62,2.75,76.8,0.5,18,19,16,18,16,19,19,18,17,18,19,17,214,3.9,<25_standardizations,96.70634793,65.39415798,70.81827142,38,18,35,2.618181818,2.754585842,76.81818182,220,29,11,12,0.613636364,2.423861218,12.27272727,220,29,14,23,4.045454545,2.423861218,37.72727273,220,20210225-1104-mshank_Watershed_,3.706469984,96.0694613,0,0.224068714,NA
20210225-1115-tdaley,Unnamed__Tributary_to_Mahantango_Creek,40.66830563,-76.67680839,02050301,Lower_Susquehanna-Penns,0205030108,020503010801,Upper_Mahantango_Creek,Schuylkill,2021,2,25,Freestone,"6-Dframe_Composite,_200_subsample",68.0808,NA,26,18,13,4,9,14,20,3.84,2.5,51.6,1.8,11,11,15,10,20,12,15,16,9,9,8,8,144,0.4,<25_standardizations,68.05507705,62.20487964,55.85502321,26,13,14,3.844748858,2.497336087,51.59817352,219,23,8,15,1.232876712,2.40611334,25.11415525,219,23,12,8,4.799086758,2.40611334,27.85388128,219,20210225-1115-tdaley_Watershed_,8.290488432,17.96272494,73.5218509,0.224935733,NA
20210225-1235-tdaley,Unnamed__Tributary_to_Mahantango_Creek,40.6700512,-76.67722898,02050301,Lower_Susquehanna-Penns,0205030108,020503010801,Upper_Mahantango_Creek,Northumberland,2021,2,25,Freestone,"6-Dframe_Composite,_200_subsample",92.4503,NA,32,24,21,6,10,32,36,2.61,2.8,71.4,1.5,16,18,16,16,18,14,19,16,13,16,15,16,193,0.7,<25_standardizations,94.24033379,67.70088102,73.50017482,32,21,32,2.607142857,2.804153023,71.42857143,196,26,10,12,0.790816327,2.585639543,33.16326531,196,26,16,19,3.68877551,2.585639543,50.51020408,196,20210225-1235-tdaley_Watershed_,5.859590934,27.08678828,67.05362078,0,NA
20210225-1356-mshank,Birch_Run,39.95124236,-77.4431769,02070004,Conococheague,0207000408,020700040802,Headwaters_Conococheague_Creek,Adams,2021,2,25,Freestone,"6-Dframe_Composite,_200_subsample",70.0405,NA,21,13,12,4,3,19,22,2.83,2.4,60.1,0,19,16,15,19,19,17,16,17,15,19,20,20,212,3.5,<25_standardizations,56.05141838,61.51206301,60.19988525,21,12,19,2.830985915,0,60.09389671,213,17,9,15,0.781990521,2.080486099,37.44075829,211,17,11,15,3.274881517,2.080486099,47.86729858,211,20210225-1356-mshank_Watershed_,5.200233281,94.55676516,0.243001555,0,NA
20210225-1520-mshank,Knob_Run,39.95130532,-77.44426408,02070004,Conococheague,0207000408,020700040802,Headwaters_Conococheague_Creek,Adams,2021,2,25,Freestone,"6-Dframe_Composite,_200_subsample",69.1811,NA,20,12,12,5,0,19,23,2.8,2.2,63.9,1,19,18,17,20,20,18,16,18,19,20,20,20,225,1.2,<25_standardizations,69.19694446,67.92801161,63.62128084,20,12,19,2.804878049,2.204327468,63.90243902,205,17,11,18,0.661764706,2.153958483,50.98039216,204,17,11,16,3.083333333,2.153958483,58.82352941,204,20210225-1520-mshank_Watershed_,0.059136606,99.94086339,0,0,NA
20210301-0730-twertz,Laurel_Creek,40.76361201,-77.59391092,02050301,Lower_Juniata,0205030406,020503040602,Laurel_Creek,Centre,2021,3,1,Freestone,"6-Dframe_Composite,_200_subsample",97.2775,NA,32,23,19,10,7,36,35,1.78,2.63,91.5,0.9,19,20,19,20,18,18,20,20,18,19,17,19,227,2.5,<25_standardizations,83.29511072,69.95933504,73.46353503,31,19,36,1.787735849,0.043994708,91.50943396,212,25,13,12,0.118483412,2.49909651,29.38388626,211,25,16,21,3.388625592,2.49909651,47.86729858,211,20210301-0730-twertz_Watershed_,5.60965574,91.33177891,3.058565355,0,NA
20210301-0939-twertz,Greens_Valley_Stream,40.75673153,-77.5852494,02050304,Lower_Juniata,0205030406,020503040602,Laurel_Creek,Mifflin,2021,3,1,Freestone,"6-Dframe_Composite,_200_subsample",75.4265,NA,23,16,13,7,2,20,21,2.6,2.36,74.4,2.3,19,20,18,20,20,20,20,20,18,18,20,20,233,2.7,<25_standardizations,75.43277931,71.10873729,69.38173904,23,13,20,2.595348837,2.358784797,74.41860465,215,21,10,15,0.558139535,2.214431204,65.11627907,215,21,11,17,2.609302326,2.214431204,68.8372093,215,20210301-0939-twertz_Watershed_,2.381274523,97.61872548,0,0,NA
20210303-0930-twertz,Cherry_Run,40.86904909,-77.33751999,02050301,Lower_Susquehanna-Penns,0205030104,020503010403,Upper_Penns_Creek,Centre,2021,3,3,Freestone,"6-Dframe_Composite,_200_subsample",96.7171,NA,28,22,19,8,6,41,37,1.71,2.73,85.5,0,20,19,19,19,20,18,20,20,19,19,18,18,229,2.8,<25_standardizations,98.58820921,71.45062854,75.08533696,28,19,41,1.710144928,2.727763064,85.50724638,207,23,12,21,0.314009662,2.614736228,25.12077295,207,23,15,21,2.93236715,2.614736228,57.48792271,207,20210303-0930-twertz_Watershed_,4.340168575,95.63467103,0.025160398,0,NA
20210303-1040-tdaley,Unnamed__Tributary_to_Mahantango_Creek,40.65975997,-76.6809659,02050301,Lower_Susquehanna-Penns,0205030108,020503010801,Upper_Mahantango_Creek,Schuylkill,2021,3,3,Freestone,"6-Dframe_Composite,_200_subsample",82.207,NA,28,20,16,5,9,29,31,2.97,2.64,58.2,0.5,16,17,14,16,15,12,19,18,11,13,15,15,181,1.4,<25_standardizations,82.18652177,62.73777033,68.33379957,28,16,29,2.971830986,2.636610247,58.21596244,213,23,8,12,1.08490566,2.563272257,28.30188679,212,23,14,17,3.66509434,2.563272257,45.75471698,212,20210303-1040-tdaley_Watershed_Landcover,8.838133069,18.96722939,72.02085402,0.173783515,NA
20210303-1245-drebuck,Elk_Creek,40.97040207,-77.32929367,02050301,Lower_Susquehanna-Penns,0205030102,020503010201,Elk_Creek,Centre,2021,3,3,Freestone,"6-Dframe_Composite,_200_subsample",70.4646,NA,27,17,14,7,8,14,24,3.36,2.33,56.7,0.5,16,15,13,17,15,14,13,18,16,14,10,9,170,7.2,<25_standardizations,70.47811211,46.1967002,52.72677606,27,14,14,3.360576923,2.331473556,56.73076923,208,18,6,6,1.370192308,1.790312101,5.288461538,208,18,9,4,3.706730769,1.790312101,53.84615385,208,20210303-1245-drebuck_Watershed,3.661532647,92.38873665,3.24577152,0.70395918,NA
20210303-1355-tdaley,Pine_Creek,40.82105244,-76.00362603,02040203,Schuylkill,0204020301,020402030101,Headwaters_Little_Schuylkill_River,Schuylkill,2021,3,3,Freestone,"6-Dframe_Composite,_200_subsample",52.1106,NA,19,14,11,5,4,16,19,5.48,2.08,22.5,14.1,17,18,16,16,13,14,20,20,16,15,14,13,192,7.3,<25_standardizations,41.41388933,52.49368671,48.49298233,19,11,16,5.476439791,0.24273702,22.51308901,191,19,8,12,1.753926702,2.08008767,7.853403141,191,19,11,11,5.722513089,2.08008767,17.80104712,191,20210303-1355-tdaley_Watershed_,18.31795492,66.22296173,15.04563102,0.413452327,NA
20210304-0935-drebuck,Unnamed__Tributary_to_Elk_Creek,40.95812256,-77.37001907,2050301,Lower_Susquehanna-Penns,0205030102,020503010201,Elk_Creek,Centre,2021,3,4,Freestone,"6-Dframe_Composite,_200_subsample",93.6538,NA,33,23,20,8,9,38,37,2.85,2.8,64.1,1,16,18,18,16,19,17,19,17,16,18,18,20,212,1.1,<25_standardizations,78.3705312,65.07380668,73.61180028,33,20,38,2.853535354,0.026708419,64.14141414,198,26,10,15,1.16751269,2.631731008,15.73604061,197,26,15,23,3.680203046,2.631731008,45.17766497,197,20210304-0935-drebuck_Watershed,2.624863288,97.19285454,0.182282173,0,NA
20210304-0955-tdaley,Sand_Hill_Creek,41.08474068,-75.00911748,02040104,Middle_Delaware,0204010406,020401040606,Lower_Bush_Kill,Monroe,2021,3,4,Freestone,"6-Dframe_Composite,_200_subsample",61.0023,NA,17,8,8,1,1,7,13,2.22,1.66,89.4,1.9,16,18,15,16,16,13,19,17,15,18,15,15,193,2.8,<25_standardizations,52.29738597,50.40679012,47.98016816,17,8,7,2.221153846,0,89.42307692,208,11,5,9,0.270935961,1.484995664,39.90147783,203,11,6,4,3.36453202,1.484995664,66.50246305,203,20210304-0955-tdaley_Watershed_,31.28670032,55.04275265,1.040486247,12.63006078,NA
20210304-1015-jeremmille,Hospital_Creek,40.32847305,-76.11161172,02040203,Schuylkill,0204020304,020402030406,Spring_Creek,Berks,2021,3,4,Freestone,"6-Dframe_Composite,_200_subsample",78.6756,NA,22,15,12,4,5,31,26,1.99,2,77.7,0.5,16,20,19,17,9,17,20,18,17,4,16,6,179,2.3,<25_standardizations,78.71369942,57.69680362,68.64094911,22,12,31,1.985781991,2.00421177,77.72511848,211,20,8,15,0.308056872,1.983303929,12.79620853,211,20,11,20,2.834123223,1.983303929,70.14218009,211,20210304-1015-jeremmille_Waters,17.87686361,69.7542794,12.09276643,0.276090558,NA
20210304-1115-jeremmille,Hospital_Creek,40.32462627,-76.11724718,02040203,Schuylkill,0204020304,020402030406,Spring_Creek,Berks,2021,3,4,Freestone,"6-Dframe_Composite,_200_subsample",82.7273,NA,23,17,15,3,6,32,27,2.06,2.12,77.3,0.5,17,18,16,17,15,16,19,19,12,6,17,12,184,1.5,<25_standardizations,70.36602338,53.40091647,65.49281722,23,15,32,2.064814815,0,77.31481481,216,18,6,12,0.558139535,2.026812369,13.02325581,215,18,10,15,2.646511628,2.026812369,71.62790698,215,20210304-1115-jeremmille_Waters,22.30992937,64.35396759,12.92064811,0.415454923,NA
20210304-1240-drebuck,Unnamed__Tributary_to_Elk_Creek,40.94100194,-77.40495182,02050301,Lower_Susquehanna-Penns,0205030102,020503010201,Elk_Creek,Centre,2021,3,4,Freestone,"6-Dframe_Composite,_200_subsample",87.4095,NA,30,22,20,6,9,39,36,3.13,2.27,58.7,2.3,16,18,17,15,13,17,19,18,18,15,17,14,197,1.1,<25_standardizations,75.50320097,63.7472942,73.14127515,30,20,39,3.128440367,0,58.71559633,218,27,11,18,1.674311927,2.155622467,14.67889908,218,27,16,23,3.73853211,2.155622467,50.4587156,218,20210304-1240-drebuck_Watershed,0,100,0,0,NA
20210304-1315-tdaley,Unnamed__Tributary_to_Brodhead_Creek,40.99474098,-75.18731408,02040104,Middle_Delaware,0204010409,020401040905,Lower_Broadhead_Creek,Monroe,2021,3,4,Freestone,"6-Dframe_Composite,_200_subsample",28.4498,NA,17,5,2,4,1,0,7,5.68,1.53,1.6,4.8,12,14,14,12,14,10,18,17,9,9,5,6,140,0.5,<25_standardizations,19.52603103,34.18995626,26.55777025,17,2,0,5.682539683,0,1.587301587,189,15,2,0,3.288043478,1.43909914,13.58695652,184,15,2,0,5.75,1.43909914,0.543478261,184,20210304-1315-tdaley_Watershed_,18.19744525,74.06837766,1.313563052,6.420614039,NA
20210304-1430-drebuck,Unnamed__Tributary_to_Elk_Creek,40.93782594,-77.42577356,02050301,Lower_Susquehanna-Penns,0205030102,020503010201,Elk_Creek,Centre,2021,3,4,Freestone,"6-Dframe_Composite,_200_subsample",83.6033,NA,27,19,18,5,8,32,34,2.63,2.13,63.8,0.9,16,17,19,14,19,18,17,14,19,18,20,20,211,0.4,<25_standardizations,70.36343541,54.82281081,66.54881087,25,18,32,2.633333333,0,64.76190476,210,21,9,12,1.619047619,2.003451986,10.95238095,210,21,13,18,3.242857143,2.003451986,56.19047619,210,20210304-1430-drebuck_Watershed,0,100,0,0,NA
