STATIONID,STREAM_NAME,LAT,LONG,YEAR,MONTH,DAY,AREAsqmi,Regular_IBI,SPEAR_IBI,IBI_Adjusted_Abundance_,SIBI-AIBI,SIBI-RIBI,S_IBI_Total_Taxa_Richness,S_IBI_EPT_Taxa_Richness,S_IBI_Beck's_Index,S_IBI_Hilsenhoff_Biotic_Index,S_IBI_Shannon_Diversity_Index,S_IBI_Percent_Sensitive_Individuals,S_IBI_Total_Individuals_Sampled,A_IBI_Total_Taxa_Richness,A_IBI_EPT_Taxa_Richness,A_IBI_Beck's_Index,A_IBI_Hilsenhoff_Biotic_Index,A_IBI_Shannon_Diversity_Index,A_IBI_Percent_Sensitive_Individuals,A_IBI_Total_Individuals_Sampled,Impaired-0_Attaining-1,Urban,Forested,Agriculture,OpenWaterWetland_,INST_COVER,EPI_SUB,R_IBI_Total_Taxa_Richness,R_IBI_EPT_Taxa_Richness,R_IBI_Beck's_Index,R_IBI_Hilsenhoff_Biotic_Index,R_IBI_Shannon_Diversity_Index,R_IBI_Percent_Sensitive_Individuals,R_IBI_Total_Individuals_Sampled,EMBEDDED,VELO_DEPTH,CHAN_ALT,SED_DEP,FREQ_RIFF,CHAN_FLOW,COND_BANKS,BANK_VEG,GRAZING,RIP_VEG_ZO,HAB_TOTAL,DESIGNATED_USE,IBI_Impairment_Threshold,Impaired-0_Attaining-1
20210113-1225-tdaley,Koenigs_Creek,40.68894417,-75.94214815,2021,1,13,2.7,52.83872679,31.68096953,34.26453782,-2.583568289,-21.15775726,11,3,6,1.480582524,1.594990929,2.912621359,206,11,5,2,5.257281553,1.594990929,22.33009709,206,0,14.2974753,58.47969265,25.8507135,1.372118551,16,14,18,8,7,3.884615385,0,54.32692308,208,15,16,16,11,17,18,14,18,15,15,185,CWF,50,1
20210113-1345-tdaley,Unnamed__Tributary_to_Little_Schuylkill_River,40.70697082,-76.00085952,2021,1,13,1,94.51146695,68.67464814,81.42293932,-12.74829118,-25.83681881,28,13,21,0.872641509,2.632276942,25,212,28,17,27,2.995283019,2.632276942,54.71698113,212,1,0,100,0,0,18,15,29,19,40,2.094339623,0,75,212,15,16,16,13,19,18,19,18,17,16,200,CWF,50,1
20210120-1315-tdaley,Mahannon_Creek,40.64189237,-76.10613811,2021,1,20,6.7,56.28865925,40.93276863,41.61643223,-0.683663598,-15.35589062,19,6,8,5.246153846,1.952686417,7.179487179,195,19,7,10,5.717948718,1.952686417,6.666666667,195,0,19.92601417,60.0852718,18.99178632,0.996927707,14,14,25,10,15,4.822335025,0,28.93401015,197,15,16,14,10,15,15,14,14,13,12,166,CWF,50,1
20210120-1405-tdaley,Mahannon_Creek,40.64394105,-76.10604914,2021,1,20,6.7,79.49748175,57.29978764,57.21188669,0.087900949,-22.19769411,22,11,17,4.945783133,2.59666138,18.07228916,166,22,11,14,4.753012048,2.59666138,22.28915663,166,1,10.86016033,60.19849854,18.97824151,9.963099631,16,17,33,15,27,3.849246231,0.063236571,43.2160804,199,15,16,15,11,18,15,16,16,15,15,185,CWF,50,1
20210125-1215-jeremmille,Stony_Creek,40.57577613,-76.06924875,2021,1,25,3.7,92.31712471,58.42427066,70.49196537,-12.06769471,-33.89285406,20,10,17,4.352941176,2.719713366,23.52941176,221,20,13,20,3.180995475,2.719713366,52.48868778,221,1,0,100,0,0,19,20,26,16,38,1.900452489,0,76.92307692,221,18,18,19,19,19,20,16,18,20,20,226,CWF ,50,1
20210224-1045-tdaley,Raccoon_Creek,40.9370329,-76.16278538,2021,2,24,2.4,71.25364033,51.16269308,51.41078015,-0.248087065,-20.09094725,19,10,17,4.318181818,1.797406941,16.16161616,198,19,11,14,4.808080808,1.797406941,24.74747475,198,1,16.5883143,78.13969107,5.255204835,0.016789792,15,16,21,11,24,2.732323232,1.835057041,75.25252525,198,16,14,20,12,18,14,13,17,15,15,185,HQ-CWF,63,1
20210224-1245-jlorson,Lewis_Creek,41.38788532,-75.82390706,2021,2,24,1.4,34.41713521,26.07337669,31.26610701,-5.192730321,-8.343758524,8,1,5,5.647342995,1.539188158,5.314009662,207,8,3,5,5.31884058,1.539188158,19.3236715,207,0,9.567147614,73.54051054,12.47502775,4.417314095,16,16,10,3,7,5.188405797,0,21.25603865,207,13,19,19,12,18,19,16,19,18,12,197,HQ-CWF,63,0
20210224-1300-jlorson,Lewis_Creek,41.38724222,-75.82403077,2021,2,24,1.4,64.99734546,43.49487517,54.61246865,-11.11759348,-21.50247029,17,7,13,5.574766355,2.097215465,8.878504673,214,17,7,14,3.607476636,2.097215465,42.52336449,214,0,9.513225161,73.57190487,12.49166481,4.423205157,18,18,19,8,23,2.953271028,0,57.00934579,214,16,19,13,16,16,19,19,10,12,12,188,HQ-CWF,63,1
20210224-1410-tdaley,Raccoon_Creek,40.92546048,-76.1740289,2021,2,24,2.5,67.76587939,45.30097134,48.05332302,-2.752351684,-22.46490805,18,9,11,4.434343434,1.623836037,13.13131313,198,18,11,14,5.025252525,1.623836037,17.67676768,198,1,16.22542595,69.92136304,13.80078637,0.05242464,15,16,20,11,19,2.666666667,1.642197829,76.26262626,198,16,12,20,13,15,14,15,16,13,12,177,HQ-CWF,63,1
20210224-1450-tdaley,Tomhicken_Creek,40.92534954,-76.17460351,2021,2,24,9.2,66.3573627,46.65056363,47.43450526,-0.783941631,-19.70679907,16,8,14,4.502439024,1.87711415,16.09756098,205,16,9,16,5.068292683,1.87711415,17.07317073,205,1,27.14444307,68.52103121,2.358455656,1.976070063,17,18,19,11,23,3.325242718,1.929352873,61.16504854,206,17,16,20,15,19,16,14,18,16,16,202,CWF,50,1
20210225-1104-mshank,Toms_Run,40.03391518,-77.30415583,2021,2,25,3.9,94.1810954,57.13560385,71.75709458,-14.62149073,-37.04549156,29,12,12,5.059090909,2.423861218,12.27272727,220,29,15,23,4.059090909,2.423861218,38.18181818,220,1,3.706469984,96.0694613,0,0.224068714,18,19,38,18,35,2.618181818,2.754585842,76.81818182,220,16,18,16,19,19,18,17,18,19,17,214,HQ-CWF,63,1
20210225-1115-tdaley,Unnamed__Tributary_to_Mahantango_Creek,40.66830563,-76.67680839,2021,2,25,0.4,68.05507705,57.27343305,55.85502321,1.418409837,-10.781644,23,9,15,4.059360731,2.40611334,25.11415525,219,23,12,8,4.799086758,2.40611334,27.85388128,219,1,8.290488432,17.96272494,73.5218509,0.224935733,11,11,26,13,14,3.844748858,2.497336087,51.59817352,219,15,10,20,12,15,16,9,9,8,8,144,CWF,50,1
20210225-1235-tdaley,Unnamed__Tributary_to_Mahantango_Creek,40.6700512,-76.67722898,2021,2,25,0.7,92.48594782,63.64653165,73.50017482,-9.853643166,-28.83941617,26,10,12,0.790816327,2.585639543,33.16326531,196,26,16,19,3.68877551,2.585639543,50.51020408,196,1,5.859590934,27.08678828,67.05362078,0,16,18,32,21,32,2.607142857,2.804153023,71.42857143,196,16,16,18,14,19,16,13,16,15,16,193,CWF,50,1
20210225-1356-mshank,Birch_Run,39.95124236,-77.4431769,2021,2,25,3.5,70.05589699,56.3610039,60.14144707,-3.780443166,-13.69489309,17,10,17,4.142180095,2.080486099,37.44075829,211,17,11,15,3.303317536,2.080486099,47.86729858,211,0,5.200233281,94.55676516,0.243001555,0,19,16,21,12,19,2.830985915,0,60.09389671,213,15,19,19,17,16,17,15,19,20,20,212,HQ-CWF,63,1
20210225-1520-mshank,Knob_Run,39.95130532,-77.44426408,2021,2,25,1.2,69.19694446,63.12352378,63.56083743,-0.437313645,-6.073420678,17,11,20,3.426470588,2.153958483,50.98039216,204,17,11,16,3.112745098,2.153958483,58.82352941,204,1,0.059136606,99.94086339,0,0,19,18,20,12,19,2.804878049,2.204327468,63.90243902,205,17,20,20,18,16,18,19,20,20,20,225,HQ-CWF,63,1
20210301-0730-twertz,Laurel_Creek,40.76361201,-77.59391092,2021,3,1,2.5,96.75363865,63.74664897,73.05446776,-9.30781879,-33.00698968,25,14,14,3.995260664,2.49909651,29.38388626,211,25,16,21,3.587677725,2.49909651,47.86729858,211,1,5.60965574,91.33177891,3.058565355,0,19,20,31,19,36,1.787735849,0.043994708,91.50943396,212,19,20,18,18,20,20,18,19,17,19,227,HQ-CWF,63,1
20210301-0939-twertz,Greens_Valley_Stream,40.75673153,-77.5852494,2021,3,1,2.7,75.43277931,68.52575573,69.32438808,-0.798632349,-6.907023577,21,10,17,2.241860465,2.214431204,65.11627907,215,21,11,17,2.637209302,2.214431204,68.8372093,215,1,2.381274523,97.61872548,0,0,19,20,23,13,20,2.595348837,2.358784797,74.41860465,215,18,20,20,20,20,20,18,18,20,20,233,HQ-CWF,63,1
20210303-0930-twertz,Cherry_Run,40.86904909,-77.33751999,2021,3,3,2.8,96.70413596,63.38917085,74.84706728,-11.45789643,-33.31496512,23,12,21,4.236714976,2.614736228,25.12077295,207,23,15,21,3.048309179,2.614736228,57.48792271,207,1,4.340168575,95.63467103,0.025160398,0,20,19,28,19,41,1.710144928,2.727763064,85.50724638,207,19,19,20,18,20,20,19,19,18,18,229,EV,63,1
20210303-1040-tdaley,Unnamed__Tributary_to_Mahantango_Creek,40.65975997,-76.6809659,2021,3,3,1.4,82.18652177,58.1524406,68.33379957,-10.18135897,-24.03408117,23,9,14,4.169811321,2.563272257,28.30188679,212,23,14,17,3.66509434,2.563272257,45.75471698,212,1,8.838133069,18.96722939,72.02085402,0.173783515,16,17,28,16,29,2.971830986,2.636610247,58.21596244,213,14,16,15,12,19,18,11,13,15,15,181,CWF,50,1
20210303-1245-drebuck,Elk_Creek,40.97040207,-77.32929367,2021,3,3,7.2,70.47811211,38.78657025,52.72677606,-13.94020581,-31.69154186,18,6,6,4.975961538,1.790312101,5.288461538,208,18,9,4,3.706730769,1.790312101,53.84615385,208,1,3.661532647,92.38873665,3.24577152,0.70395918,16,15,27,14,14,3.360576923,2.331473556,56.73076923,208,13,17,15,14,13,18,16,14,10,9,170,HQ-CWF,63,1
20210303-1355-tdaley,Pine_Creek,40.82105244,-76.00362603,2021,3,3,7.3,52.12106095,46.75941863,48.49298233,-1.733563698,-5.361642319,19,9,14,5.397905759,2.08008767,7.853403141,191,19,11,11,5.722513089,2.08008767,17.80104712,191,0,18.31795492,66.22296173,15.04563102,0.413452327,17,18,19,11,16,5.476439791,0.24273702,22.51308901,191,16,16,13,14,20,20,16,15,14,13,192,CWF,50,1
20210304-0935-drebuck,Unnamed__Tributary_to_Elk_Creek,40.95812256,-77.37001907,2021,3,4,1.1,93.66351147,60.01618933,73.54920913,-13.5330198,-33.64732214,26,11,17,4.482233503,2.631731008,15.73604061,197,26,15,23,3.710659898,2.631731008,45.17766497,197,1,2.624863288,97.19285454,0.182282173,0,16,18,33,20,38,2.853535354,0.026708419,64.14141414,198,18,16,19,17,19,17,16,18,18,20,212,HQ-CWF,63,1
20210304-0955-tdaley,Sand_Hill_Creek,41.08474068,-75.00911748,2021,3,4,2.8,61.96207197,44.80492565,47.98016816,-3.175242514,-17.15714633,11,5,11,3.42364532,1.484995664,39.90147783,203,11,6,4,3.36453202,1.484995664,66.50246305,203,0,31.28670032,55.04275265,1.040486247,12.63006078,16,18,17,8,7,2.221153846,0,89.42307692,208,15,16,16,13,19,17,15,18,15,15,193,HQ-CWF,63,0
20210304-1015-jeremmille,Hospital_Creek,40.32847305,-76.11161172,2021,3,4,2.3,78.71369942,50.51988756,68.58251093,-18.06262337,-28.19381186,20,9,17,4.654028436,1.983303929,12.79620853,211,20,11,20,2.862559242,1.983303929,70.14218009,211,1,17.87686361,69.7542794,12.09276643,0.276090558,16,20,22,12,31,1.985781991,2.00421177,77.72511848,211,19,17,9,17,20,18,17,4,16,6,179,TSF ,50,1
20210304-1115-jeremmille,Hospital_Creek,40.32462627,-76.11724718,2021,3,4,1.5,82.74756813,46.88720582,65.37811531,-18.49090948,-35.86036231,18,7,14,4.581395349,2.026812369,13.02325581,215,18,10,15,2.702325581,2.026812369,71.62790698,215,1,22.30992937,64.35396759,12.92064811,0.415454923,17,18,23,15,32,2.064814815,0,77.31481481,216,16,17,15,16,19,19,12,6,17,12,184,TSF ,50,1
20210304-1240-drebuck,Unnamed__Tributary_to_Elk_Creek,40.94100194,-77.40495182,2021,3,4,1.1,88.72255297,59.90206931,73.08471343,-13.18264412,-28.82048366,27,12,20,4.399082569,2.155622467,14.67889908,218,27,16,23,3.766055046,2.155622467,50.4587156,218,1,0,100,0,0,16,18,30,20,39,3.128440367,0,58.71559633,218,17,15,13,17,19,18,18,15,17,14,197,HQ-CWF,63,1
20210304-1315-tdaley,Unnamed__Tributary_to_Brodhead_Creek,40.99474098,-75.18731408,2021,3,4,0.5,28.46149683,31.68297512,26.55777025,5.125204866,3.221478282,15,2,2,4.934782609,1.43909914,13.58695652,184,15,2,0,5.75,1.43909914,0.543478261,184,0,18.19744525,74.06837766,1.313563052,6.420614039,12,14,17,2,0,5.682539683,0,1.587301587,189,14,12,14,10,18,17,9,9,5,6,140,TSF ,50,0
20210304-1430-drebuck,Unnamed__Tributary_to_Elk_Creek,40.93782594,-77.42577356,2021,3,4,0.4,82.4446356,50.49025727,66.43137796,-15.94112069,-31.95437832,21,10,14,4.580952381,2.003451986,10.95238095,210,21,13,18,3.3,2.003451986,56.19047619,210,1,0,100,0,0,16,17,25,18,32,2.633333333,0,64.76190476,210,19,14,19,18,17,14,19,18,20,20,211,HQ-CWF,63,1
20210305-0950-drebuck,Elk_Creek,40.94998996,-77.3979832,2021,3,5,17.5,57.57790537,35.45145994,46.91210985,-11.46064991,-22.12644543,18,4,3,5.019900498,1.804627419,3.980099502,201,18,8,6,4.751243781,1.804627419,34.82587065,201,0,3.415492262,79.74620995,15.37366829,1.464629494,18,16,25,11,10,4.470588235,2.077801593,37.74509804,204,13,19,14,13,14,18,12,10,10,10,167,HQ-CWF,63,0
20210305-1230-drebuck,Elk_Creek,40.96128339,-77.3659602,2021,3,5,13.1,58.93250118,34.66240671,44.83420108,-10.17179437,-24.27009447,19,3,3,5.19,1.843166977,2.5,200,19,8,3,4.87,1.843166977,28.5,200,0,3.493621712,83.48732217,11.200063,1.818993123,19,15,29,12,10,4.689655172,2.200804864,28.57142857,203,14,15,15,13,14,19,4,8,7,1,144,HQ-CWF,63,0
20210308-1125-drebuck,Unnamed__Tributary_to_Elk_Creek,40.93292084,-77.4366163,2021,3,8,0.5,91.91426592,59.49844327,73.4351747,-13.93673143,-32.41582265,24,11,17,4.165898618,2.419791668,21.19815668,217,24,14,20,3.064516129,2.419791668,60.36866359,217,1,0.082236842,99.91776316,0,0,15,16,30,19,34,2.299539171,2.526798827,74.19354839,217,18,14,16,17,19,15,18,17,16,13,194,HQ-CWF,63,1
20210308-1410-drebuck,Unnamed__Tributary_to_Elk_Creek,40.92785607,-77.4512824,2021,3,8,0.6,80.12042668,50.05274114,64.39296216,-14.34022102,-30.06768554,22,7,14,4.626213592,2.285619761,11.65048544,206,22,11,16,3.509708738,2.285619761,50.48543689,206,1,0.069396253,99.79181124,0.138792505,0,15,17,25,14,28,2.533980583,2.319126886,71.3592233,206,16,14,14,15,17,15,17,15,13,14,182,HQ-CWF,63,1
20210309-1025-ablascovic,Unnamed__Tributary_to_New_Creek,40.48565485,-78.2992476,2021,3,9,1,54.42172717,40.66592511,38.80930914,1.856615973,-13.75580206,18,6,7,5.21761658,1.845801675,13.47150259,193,18,8,2,5.310880829,1.845801675,7.25388601,193,0,8.815132049,58.06566738,33.11920057,0,12,14,19,7,6,3.207253886,0,55.95854922,193,12,14,16,9,15,15,10,14,16,15,162,HQ-CWF,63,0
20210309-1045-ablascovic,Unnamed__Tributary_to_New_Creek,40.48609257,-78.29889204,2021,3,9,1,24.0935316,23.53822714,20.16748635,3.370740787,-0.555304464,8,1,4,5.215384615,1.102805854,3.076923077,195,8,1,1,5.969230769,1.102805854,0.512820513,195,0,25.13904338,57.95328142,16.64812755,0.259547646,6,12,9,1,2,5.466666667,0,9.743589744,195,3,13,7,4,14,15,12,14,14,11,125,HQ-CWF,63,0
20210309-1130-ablascovic,New_Creek,40.47202048,-78.3081171,2021,3,9,3.7,60.58902787,45.88950786,45.77590014,0.113607723,-14.69952001,17,7,11,4.948837209,2.077248737,19.53488372,215,17,10,4,4.790697674,2.077248737,19.53488372,215,0,5.405121746,69.41645676,25.17842149,0,14,13,22,10,6,3.297674419,0,56.74418605,215,11,15,19,8,15,17,5,15,20,20,172,HQ-CWF,63,0
20210309-1220-tdaley,Griscom_Creek,41.19477133,-75.27220006,2021,3,9,2.1,84.43431423,44.75019633,53.40662333,-8.656426999,-39.6841179,19,8,12,4.8,1.854390076,7,200,19,11,17,4.615,1.854390076,24.5,200,1,25.13904338,57.95328142,16.64812755,0.259547646,17,18,26,17,35,2.714975845,0,71.98067633,207,16,16,20,14,19,14,14,18,19,19,204,HQ-CWF,63,1
20210309-1340-tdaley,Griscom_Creek,41.20629138,-75.282108,2021,3,9,1.7,87.26837437,48.04419123,67.98824202,-19.94405079,-39.22418313,18,8,14,4.620853081,2.160587562,10.90047393,211,18,11,20,2.753554502,2.160587562,65.87677725,211,1,1.580939657,95.21264752,3.206412826,0,16,18,23,16,38,1.914691943,0,77.72511848,211,16,12,20,14,19,13,16,15,16,16,191,HQ-CWF,63,1
20210310-0287-WQN,Unnamed__Tributary_to_Lick_Run,40.99917747,-77.64722174,2021,3,10,1,78.80782928,39.73762561,63.20923426,-23.47160865,-39.07020367,16,5,8,4.766990291,1.936403596,8.737864078,206,16,10,13,2.184466019,1.936403596,67.47572816,206,1,0,100,0,0,13,19,20,14,26,1.247572816,0,88.83495146,206,14,16,15,11,19,8,14,19,20,20,188,HQ-CWF,63,1
20210310-0918-mshank,Unnamed__Tributary_to_Lick_Run,41.00522567,-77.64168121,2021,3,10,1,91.20711215,54.50080103,80.21654027,-25.71573923,-36.70631112,24,10,14,4.431372549,2.218687721,15.68627451,204,24,15,27,2.049019608,2.218687721,70.09803922,204,1,0,99.75378122,0.246218783,0,18,19,26,17,40,1.441176471,0,83.82352941,204,17,18,17,16,20,18,17,17,18,18,213,HQ-CWF,63,1
20210310-1100-drebuck,Unnamed__Tributary_to_Elk_Creek,40.97216794,-77.33577433,2021,3,10,0.6,47.13578062,33.6386332,42.40860118,-8.769967977,-13.49714742,17,3,6,5.466292135,1.74003732,1.685393258,178,17,6,7,5.280898876,1.74003732,28.65168539,178,0,4.115755627,76.52733119,19.35691318,0,14,16,21,6,12,5.350253807,1.929045281,26.39593909,197,14,13,14,12,17,15,9,6,1,1,132,HQ-CWF,63,0
20210310-1300-drebuck,Unnamed__Tributary_to_Elk_Creek,40.96817131,-77.34634819,2021,3,10,0.6,48.4511834,34.76194672,34.14260705,0.619339671,-13.68923668,12,4,8,4.582524272,1.383276571,12.62135922,206,12,6,6,5.54368932,1.383276571,15.04854369,206,0,0.425170068,69.21768707,30.35714286,0,11,15,13,6,7,3.805825243,1.519402713,60.67961165,206,13,12,14,10,16,13,11,10,9,4,138,HQ-CWF,63,0
20210310-1515-drebuck,Unnamed__Tributary_to_Elk_Creek,40.95080849,-77.46504486,2021,3,10,0.8,73.06622086,47.88623112,58.9082362,-11.02200509,-25.17998974,21,8,11,4.696517413,2.107599006,11.44278607,201,21,10,13,3.860696517,2.107599006,45.27363184,201,0,0,100,0,0,17,18,24,14,25,3.2039801,0.052769203,54.72636816,201,17,18,19,17,18,19,19,20,19,20,221,HQ-CWF,63,1
20210311-1040-drebuck,Elk_Creek,40.93138125,-77.46320373,2021,3,11,30.5,23.96069916,19.17423817,20.16252855,-0.988290373,-4.786460983,10,1,0,5.2,0.56463886,0.465116279,215,10,4,1,6.302325581,0.56463886,1.395348837,215,0,4.12361708,68.88429185,26.09376429,0.898326781,17,17,13,4,5,6.258064516,0.219738717,1.843317972,217,14,19,17,14,16,19,14,14,13,9,183,HQ-CWF,63,0
20210311-1045-tdaley,Koenigs_Creek,40.68228531,-75.99728267,2021,3,11,3.3,43.48514375,39.16411883,40.14491442,-0.980795587,-4.321024918,15,6,8,5.242574257,1.885722504,10.3960396,202,15,7,8,5.524752475,1.885722504,13.86138614,202,0,15.63064499,67.54861332,16.22569334,0.595048348,16,15,19,8,10,5.564356436,0,10.3960396,202,16,16,15,14,19,19,15,15,15,15,190,CWF,50,0
20210311-1225-tdaley,Unnamed__Tributary_to_Little_Schuylkill_River,40.73702421,-75.94554839,2021,3,11,1.3,87.49089808,61.60148704,73.64929185,-12.04780481,-25.88941103,29,13,17,4.696078431,2.419812493,15.68627451,204,29,16,19,3.740196078,2.419812493,49.01960784,204,1,6.868686869,61.26984127,31.8037518,0.057720058,16,16,42,21,30,3.383495146,0,53.88349515,206,15,15,15,10,16,20,13,10,7,5,158,CWF,50,1
20210311-1305-drebuck,Elk_Creek,40.94004764,-77.43648412,2021,3,11,24.3,15.29909769,15.53190142,13.70192693,1.829974494,0.232803736,5,0,0,5.336538462,0.587366352,0,208,5,1,0,6.653846154,0.587366352,0,208,0,3.463996591,72.80926005,22.65445249,1.072290868,14,17,6,1,1,6.660377358,0,0.943396226,212,12,16,16,11,14,16,10,4,2,2,134,HQ-CWF,63,0
20210311-1315-tdaley,Unnamed__Tributary_to_Little_Schuylkill_River,40.73637765,-75.94599096,2021,3,11,0.9,43.17517696,32.25238758,36.43405131,-4.181663726,-10.92278938,17,3,6,5.225,1.440263573,1,200,17,6,5,5.505,1.440263573,14,200,0,8.833333333,72.41666667,18.75,0,15,17,19,7,12,5.27,0,19.5,200,16,11,15,14,18,19,18,13,9,8,173,CWF,50,0
20210315-1005-drebuck,Elk_Creek,40.94793008,-77.41137271,2021,3,15,21.1,44.90958582,29.37830604,37.04498701,-7.666680967,-15.53127978,11,2,3,4.755868545,1.505220654,6.103286385,213,11,7,2,5.018779343,1.505220654,27.69953052,213,0,3.391318754,77.19516236,18.17428761,1.239231279,18,16,15,8,4,4.242990654,0,35.98130841,214,13,16,15,16,15,19,13,4,3,4,152,HQ-CWF,63,0
